1,31
2,18
3,12
4,9
5,13
6,6
7,9
8,5
9,9
10,16
11,8
12,8
13,10
14,12
15,16
16,24
17,48
18,51
19,92
20,124
21,178
22,280
23,387
24,442
25,644
26,779
27,702
28,695
29,870
30,925
31,802
32,578
33,404
34,296
35,162
36,106
37,64
38,46
39,35
40,27
41,28
42,24
43,26
44,29
45,17
46,31
47,15
48,14
49,18
50,22
51,22
52,30
